 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Unidade da Federação
Período:2014
"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"091 Pneumocócica(1º ref)";91,44;47,00;76,96;81,42;67,82;65,88;83,44;73,78;77,28;96,24;83,08;82,77;88,23;84,61;93,31;84,33;95,66;94,58;84,83;91,50;94,84;98,69;84,70;120,54;90,50;87,96;91,81;87,95
"092 Meningococo C (1º ref)";95,18;47,70;80,09;77,98;68,01;64,20;81,74;74,76;77,57;95,90;85,00;79,10;90,88;76,94;92,24;85,92;93,64;93,34;85,01;94,83;93,21;101,36;85,26;115,98;92,30;87,66;87,08;88,55
"093 Poliomielite(1º ref)";92,75;62,17;80,87;81,94;69,14;73,10;80,24;80,84;74,50;100,69;86,06;89,11;89,28;85,35;91,95;85,26;90,38;91,67;83,13;88,91;83,25;88,40;80,21;112,54;88,58;87,60;82,85;86,31
"021 Tríplice Viral  D1";146,88;99,20;114,36;110,16;115,73;113,19;105,54;123,86;93,10;140,69;110,26;120,35;108,46;113,15;94,64;114,85;109,22;109,44;112,48;105,02;113,35;112,20;107,74;143,76;120,66;122,14;104,91;112,80
"098 Tríplice Viral  D2";112,73;61,61;84,51;89,67;65,35;84,86;89,43;89,25;73,51;128,34;91,11;86,96;92,83;90,64;81,80;91,52;87,72;97,63;96,45;95,89;93,09;93,38;90,12;115,08;100,71;92,25;97,29;92,88
"097 Tetra Viral(SRC+VZ)";112,79;59,30;84,84;89,83;57,71;80,98;82,22;87,39;61,99;127,95;91,87;77,44;91,13;90,20;77,26;88,80;78,40;98,45;96,72;98,07;88,21;93,16;81,82;103,64;99,51;85,99;93,36;90,19
"075 DTP";105,82;65,37;89,79;87,06;83,29;78,15;94,01;89,42;82,79;99,22;89,94;93,34;98,57;90,43;94,39;92,11;99,06;101,02;94,62;96,84;99,55;99,42;95,54;129,67;101,63;94,59;95,24;95,48
"102 DTP REF (4 e 6 anos)";3,04;3,45;3,28;3,56;2,34;2,91;1,60;3,57;1,59;2,20;3,51;2,12;3,24;4,20;1,65;2,92;1,70;2,18;3,29;0,90;2,31;2,37;3,28;2,85;2,34;3,10;3,14;2,41
"095 Tríplice Bacteriana(DTP)(1º ref)";95,32;60,27;81,23;82,79;68,69;68,12;88,04;79,51;76,27;96,67;82,78;83,15;85,51;86,02;91,42;87,57;91,76;91,97;82,42;89,23;85,63;91,78;80,37;113,56;88,14;85,54;87,27;86,36
"094 Dupla adulto e tríplice acelular gestante";61,31;31,23;49,11;42,07;34,30;44,41;37,08;49,47;34,02;60,69;50,92;37,91;60,46;51,12;50,44;49,88;33,61;53,36;39,52;42,80;36,77;41,63;27,97;52,52;54,56;29,77;65,42;43,50
"003 dTpa gestante";8,86;1,94;7,00;7,43;3,78;2,55;5,14;8,07;5,14;9,81;9,10;7,76;16,04;9,26;6,70;11,31;7,49;15,66;7,36;12,38;4,77;11,68;5,02;11,54;9,48;6,42;19,12;9,34
"Total";89,34;52,47;74,62;72,90;64,46;66,78;75,72;73,64;67,40;83,20;71,89;72,15;75,85;71,53;75,02;75,73;78,87;79,85;74,23;78,19;79,32;81,06;74,40;102,20;84,60;78,30;83,21;76,76
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

