 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Unidade da Federação
Período:2017
"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"021 Tríplice Viral  D1";105,52;79,76;84,59;89,13;70,90;77,87;89,24;81,41;82,55;105,23;81,78;96,74;101,28;104,01;89,26;83,27;93,59;87,38;98,90;91,26;91,84;93,90;87,66;94,93;91,12;88,94;89,21;90,85
"098 Tríplice Viral  D2";84,00;60,55;65,40;89,26;57,37;64,85;78,59;54,37;60,27;82,89;54,33;71,86;71,21;71,21;74,18;62,92;85,68;72,40;71,04;87,14;88,20;83,25;79,74;78,20;76,94;78,75;86,21;76,45
"097 Tetra Viral(SRC+VZ)";78,61;55,66;63,07;87,25;54,21;60,89;65,46;21,14;18,69;36,01;19,12;24,06;30,63;31,30;24,98;22,62;18,30;15,93;19,67;21,48;73,50;69,66;65,89;69,14;70,26;65,85;74,46;36,86
"075 DTP";109,28;72,62;75,83;90,71;61,04;60,94;85,83;72,31;75,55;96,15;68,68;82,21;85,90;81,22;80,17;76,00;86,77;80,58;93,90;87,33;90,10;84,75;83,73;92,70;85,82;81,33;89,93;84,02
"102 DTP REF (4 e 6 anos)";2,50;4,35;3,18;4,90;3,15;4,31;2,31;3,31;2,45;2,32;4,05;2,42;3,45;3,89;3,16;2,77;2,13;2,64;3,51;2,38;2,18;1,98;2,42;2,78;3,21;4,21;3,27;2,81
"095 Tríplice Bacteriana(DTP)(1º ref)";80,35;62,22;66,42;84,07;59,28;56,19;80,58;61,37;72,45;88,00;61,97;73,31;78,98;82,70;73,99;68,40;79,42;71,55;78,96;76,84;65,70;79,34;72,62;83,04;76,54;71,99;83,16;74,29
"094 Dupla adulto e tríplice acelular gestante";31,71;14,19;49,46;53,23;19,59;21,57;35,06;31,29;31,14;69,47;27,65;37,03;49,55;53,41;28,85;21,61;22,94;49,70;50,66;28,59;35,23;32,35;27,54;59,54;41,15;33,19;19,26;34,56
"003 dTpa gestante";32,67;15,92;58,11;62,40;21,22;20,28;54,45;37,83;38,07;65,18;26,92;34,11;51,30;49,56;29,44;27,64;37,02;63,25;66,32;35,90;56,55;39,83;33,34;60,58;46,82;51,50;21,95;42,36
"Total";90,97;68,02;75,30;85,22;62,06;65,02;86,43;66,27;71,92;83,46;59,24;71,71;72,96;73,46;70,79;69,29;86,54;75,13;76,43;76,48;84,68;81,54;78,80;87,28;82,97;80,52;85,86;76,70
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

